C2CD2L
HS2ST1
CDK6
GAA
KIF20A
SFN
IDE
DFFA
COQ8A
ABHD6
CCNE2
NOLC1
FEZ2
TERF2IP
CEP57
FUT1
SUZ12
PARP2
TIMP2
ATP11B
CALM3
ATG3
HMOX1
RFNG
SOCS2
CENPE
ARL4C
NUSAP1
DFFB
WASHC4
NMT1
PDLIM1
GABPB1
PTPN6
P4HTM
NUDCD3
POP4
IGHMBP2
HTATSF1
TXNL4B
CLTB
CHP1
TLR4
CXCR4
YKT6
RBKS
CXCL2
TP53BP1
MLEC
NUP88
CDK5R1
MYC
PRR15L
UBQLN2
STAMBP
CTTN
MSRA
PNP
FPGS
CAST
COPB2
YTHDF1
POLE2
CDK4
UBE2L6
RAB27A
PCNA
CRK
TSPAN3
FGFR4
PRKCD
NFKBIE
PLOD3
ADO
SQOR
MRPS16
EGR1
ZMIZ1
CLTC
NUP133
TENT4A
ATP6V1D
KCTD5
BNIP3
FZD7
CSNK1E
ISOC1
PAF1
HMGA2
TMEM97
VAPB
ETV1
APOE
SCRN1
MEF2C
PAFAH1B3
ACAA1
CBR3
SMC4
MBNL2
ARID4B
CNDP2
TP53
RAE1
KDM3A
HEATR1
COASY
PHGDH
PAX8
GTPBP8
KCNK1
RSU1
PLA2G4A
RAB31
FBXO21
COL4A1
ETS1
FRS2
EZH2
ATP1B1
APBB2
MIF
UBE3C
KIAA0753
VGLL4
SMNDC1
SCCPDH
CASC3
SH3BP5
WDR7
STK25
ARHGAP1
IL4R
DNM1
HTRA1
EIF4G1
ABL1
PGAM1
C2CD5
RXYLT1
BACE2
PCMT1
NUP93
RPS6
TXNDC9
AURKA
PPP2R3C
TARBP1
TCEAL4
SOX2
AARS1
TGFB3
MAP2K5
TSKU
RFC5
PSME1
RBM15B
SKIC2
NR1H2
CORO1A
EVL
PXMP2
COPS7A
BTK
WIPF2
DYRK3
RPN1
NUDT9
RPA2
GLRX
NOS3
CHIC2
HK1
PLEKHJ1
HERPUD1
CSRP1
KLHL21
MFSD10
HSPD1
MCOLN1
DHDDS
SLC35F2
TBPL1
CERK
RNPS1
PMAIP1
PGRMC1
NSDHL
MAPKAPK2
DUSP11
GNAS
STXBP1
CREB1
CDH3
FSD1
MAST2
MYO10
PSMB10
LIPA
PAK6
TIPARP
GSTZ1
DDB2
CAT
ARNT2
TLE1
UFM1
RBM34
PSMD4
TSPAN4
RFC2
DHX29
TRAP1
ACLY
PGM1
MALT1
LRPAP1
FCHO1
PLP2
PRKCQ
PXN
PIK3R3
TEX10
PAK1
NET1
USP7
DECR1
CDK7
SUPV3L1
CCDC85B
BZW2
LAMA3
PMM2
BHLHE40
RRP8
MMP1
MYL9
KIF2C
EAPP
CRYZ
DNAJB1
GATA2
ZFP36
ST6GALNAC2
IFNAR1
TNFRSF21
DCK
NPEPL1
PRPF4
COG7
ZNF451
PPIE
IGF2R
MYCBP
CCNA1
BLMH
MELK
CDC45
SYK
PWP1
STXBP2
MOK
EED
CPSF4
CSNK1A1
SCYL3
TNIP1
GNA15
SIRT3
PSME2
RPS6KA1
ICAM3
DERA
LAP3
PLSCR3
WASF3
EDN1
ABCB6
MSH6
TPM1
PDHX
TOMM34
FOSL1
RALB
GLI2
ATF1
TRAPPC3
TRAM2
IFRD2
ICMT
KAT6B
SLC5A6
TCEA2
PPP1R13B
HSD17B10
PLS1
GOLT1B
CDC25B
TCTA
BCL7B
PAK4
CAMSAP2
LSR
DUSP14
XPO7
PTPRC
SLC25A46
METRN
MEST
SHB
KDELR2
FAT1
BCL2
RRAGA
E2F2
ERBB3
CNOT4
SENP6
VDAC1
TBP
CIAO3
FZD1
SUV39H1
LRRC41
EXOSC4
NVL
PRUNE1
TSC22D3
SGCB
DUSP6
ELOVL6
JPT2
PSRC1
RPS5
RAB4A
CDKN2A
MRPL19
EBNA1BP2
CAPN1
ERBB2
GRB10
BPHL
LSM6
SCARB1
TWF2
KHDC4
FOS
GPC1
ARHGEF2
TCERG1
LYPLA1
RAB11FIP2
HDAC2
ZNF589
TFAP2A
PKIG
PIK3C3
CASK
HDAC6
ALDOC
SDHB
GNA11
STMN1
PIH1D1
XPNPEP1
TOMM70
CDC20
PIN1
SMC3
TBC1D9B
PTPN12
GMNN
TMEM109
MLLT11
PRCP
C5
APP
HMGCR
SPEN
HOXA10
SYPL1
PSMF1
RAD9A
NCOA3
DAG1
NENF
CARMIL1
ADAM10
CCNB2
NFATC3
GPER1
HSPA8
DDR1
HSPB1
ICAM1
SPAG7
