YRDC
LRRC8E
MRPL3
CARD8
KIF5B
ALDH2
GAK
TSSC4
ADIPOR2
S100A10
AMPD1
TMEM41B
SMARCA2
FOXO1
CRLF3
FKBP11
SEL1L
TNFRSF12A
PPA1
CAMLG
PATJ
TP53TG1
VIP
NMT2
LEMD3
FKBP1A
PIDD1
SEC61A2
SPI1
PPFIBP1
KLF5
FAM200C
ZBTB39
MYNN
ATOX1
SMAD7
KCND1
SIAH1
POMP
GNG7
TMCC2
MAP2K6
NSG1
PCTP
HDAC9
DYM
CDK13
TRAF3
EIF3K
ZBTB25
ZNF134
CKB
RPL22
RUBCN
ID1
GABRG3
MR1
SUN1
CARHSP1
ARL6IP5
YIPF1
RGCC
TET3
PRSS22
MPG
GBP2
YIF1A
FOXJ2
CD27
FAN1
GIN1
ADGRL2
FGD6
MCUB
AASS
MACROH2A2
CIR1
ZNF654
SNX3
TNFSF14
CASP8
PCSK1N
PLOD2
TMEM164
AQP7
TOP2B
SLC39A4
PRR14
AUNIP
MICAL3
SETX
AP4E1
CACFD1
TRAK1
HLF
ARGLU1
LMTK2
PFKFB3
ZNF675
MNT
BATF3
CDH22
B4GALT1
OSGIN1
SUCO
ARMC6
EDEM3
F13A1
SPRR1A
MMP27
PRKAR2B
TPR
ECT2
NDUFA6
NUBPL
DPAGT1
HNRNPR
HYAL4
UTP18
SETDB1
ABCC8
RXRG
TMED3
PPM1H
AURKAIP1
HPSE
RUSC1
SF3B1
GNG5
DDOST
FMR1
GNL3L
GIMAP6
PIEZO2
CHPF
FBXW4P1
TMEM59L
ORC3
PSME3
SAR1B
SLC1A3
MYO5C
PTS
RSPH14
ECHDC3
IFI27
C9orf78
PDGFD
STK17B
MRPS22
TRIP11
MYO6
SNX4
UTP3
MMADHC
ZDHHC24
ITGA8
TGIF1
AAMP
FOXG1
ANGPT2
LGALS3BP
ZDHHC4
DOLK
XPC
NF1
SCN4A
FBP1
ZNF544
NAV3
IRF7
GAL
GNA13
MAML1
FAM149B1
MAP4K1
NSUN5
ITGA1
