ACSS3
ECHDC3
MLST8
THUMPD2
AK2
POLL
ZNF692
MRM1
MED21
ALPL
CACNB3
RNF121
RO60
DNA2
SH3BGRL
LZTS3
FAM114A2
MARCHF8
SLC43A3
NUFIP1
DOCK2
PRPF18
COLQ
POP7
ASPHD1
FBRS
BRWD1
NAB2
CASD1
MMP27
ANP32B
ITIH3
WDR3
TMEM176B
GRK5
DOCK4
PSMD11
MAZ
CD53
KRT5
DRG1
WWP2
CRABP2
BSN
ALDH8A1
DENND4B
AFDN-DT
ZNF771
TIMM17A
CAPZA1
FLVCR2
HELZ
RAB23
PHC2
POLR2A
PBRM1
SLC25A10
GREB1L
NPAS3
PLCL1
EFEMP1
MED23
ARSB
WDR77
RTRAF
ZNF165
BRD1
SYNC
C1QL1
ITGB8
MLLT3
YTHDC1
CBX4
ARHGDIB
CLDN10
PCDHGA3
USP13
CLP1
ALOX15B
HOXD11
PRRC2B
HDHD5
SERTAD3
KLHDC4
NUMA1
TSPAN31
SEC63
PPM1G
BIN3
WDR59
HSD17B14
IGSF1
NSF
RIF1
TTLL4
GNAO1
LPAR3
GLA
LGR5
SCAMP4
THAP10
SERPINI1
EHMT1
CLIC2
GRK4
GAS6
MAP1B
RNF34
GOLGB1
RAB15
RUNDC3A
C17orf80
ESRRG
JARID2
CHM
CTNS
ATP10A
RETSAT
IFT46
ZC3H11A
KIF21B
CHMP2A
GABRD
PLOD1
USP12
KCNJ10
TNPO1
METTL1
FKBP10
DNAH17
XPO6
DVL2
ADCY1
NCAPH
DCTPP1
TESC
TNNI2
CLN5
NOCT
PTPN7
GTF2F2
FGF12
FGFR3
THBS2
BAIAP3
BLZF1
HCFC1
NHLH1
MVD
PTGER2
SLC14A1
MRPL33
OGG1
RUBCN
RBM22
CES2
UVRAG
ADAM15
SMPD3
AKAP12
OSBPL2
ROBO4
SHFL
CORO2A
CTSH
SF3A3
GLMN
CHPF
ATG9A
NEO1
CYFIP1
CMC2
DEDD
UBTF
RPL13A
GLB1
EXTL2
VASP
UBL4A
RMND5A
NARF
PARP8
VAV2
PES1
DNAAF11
IRF5
ZFYVE26
URB1
ZNF350
NDE1
NME5
CNBP
CDH13
APOD
LRRC15
SRPK2
PITX2
C10orf95
MRPL4
CIAO2B
ASPM
TEX261
GLI3
RPS6KA4
CAMK1D
ACOT8
C11orf58
TMEM94
CHGA
NUCB1
SRRD
BPNT2
GID8
UQCRC2
ADAMTS9
CRTC1
TNNI3K
PRR14
AMFR
TNK2
PWAR5
CCNG1
EFHD1
TMX1
SBF1
HERC5
MRPL44
CISH
RNFT1
TRIM68
PSMB2
ZNF672
GID4
PRPSAP1
MMS19
NIPAL3
WFDC2
PSME3
CSRNP2
APOL1
PCDHB12
DNAJB9
TEX264
CHST2
SARDH
CLDN5
RIMS2
VWF
H1-3
RGS14
EHD1
BEX4
PBLD
NEK3
ZNF331
FKBP15
OGT
AKAP17A
OS9
MAOB
APEH
SNUPN
CTNNA1
FOXJ1
ZNF175
TOX3
ALMS1
INTS5
P2RX4
ECSIT
SLC2A5
PTENP1
CPLX2
NKAIN1
DDX25
LMO4
BRINP1
PRNP
SNHG32
VSTM4
PTTG1IP
ATP5MG
PRELID3B
CSNK1D
CYREN
HPN
KCNJ9
WDR48
FARS2
UTP25
PRIM2
NCKIPSD
MXD3
MAG
SERGEF
GRK2
TIMM8B
MAPKAPK5-AS1
MC4R
TTBK2
AP2B1
KLF12
SLC6A15
EMILIN1
TUBB3
RPL10A
SLAMF7
SOX12
WAPL
IKZF5
ATP10B
ANAPC2
GSTA3
VPS4B
NAP1L2
SLC38A6
PNRC1
H2AX
AMD1
SLC16A1
SERPINB4
CDK11A
SLC16A3
ICE2
FABP7
FHOD3
TUBGCP5
NFASC
AHNAK
KCNC1
STARD3
ACTL6B
EFR3A
ZFC3H1
TARDBP
TCF20
NDRG1
KDM4D
PTCH1
BBIP1
KLRF1
CLDND1
GIMAP4
SCN3A
FLT3
NEDD9
GNE
IL2RB
SGCE
IL24
EMC1
MRPS7
C8orf44
SFRP5
NDUFA1
EFL1
ARL3
GPI
TXNL1
SENP7
HOXA2
GPBP1L1
JAK2
PREB
POLA2
KCNJ2
UROS
OAT
BAG5
TAPBP
DHRS11
GNA13
GSTT2
PRDM5
DENND4C
CHMP1A
PPP4R3A
DPYSL2
ZNF212
ANKRD28
FERMT2
UBAP2
UNC119B
MAP3K3
ZNF280B
UCHL3
ANKRD36
SAC3D1
CCDC102B
PELI2
LMOD1
MCAT
BSPRY
RMI1
C12orf43
ZBTB44
ALDH1A2
ABCB7
RAMP1
TALDO1
SSR3
SCML1
MTMR9
ASB7
AKR7A3
BTAF1
FBXL18
RAF1
SLC6A14
PLCG2
UBR2
MAPK11
SMIM8
GAL3ST4
ZNF235
ECHS1
FAM50A
TRAF6
MAP6D1
PPP2R2A
POGK
DLG4
MEPCE
DONSON
EEF1E1
SDAD1
RFX3
EPHA1
TMX2
ANO2
ARHGAP17
FOXL2
ZNF211
PTMA
KRT17
TGFBR3
KLF3-AS1
CCS
KIAA1549L
ATAD3A
ZC3H12A
PPP1R12A
GTF2F1
OSTF1
G0S2
TIMM50
GTF3A
P2RX1
SORL1
RNF125
PPP1R3C
PPP1R1A
AKR1C2
HS1BP3
LRRK1
ZFYVE9
TERF1
MZT2A
TMEM231
SRR
MATN2
SLC22A17
SEMA4F
SON
DAPK3
MRGBP
INTS7
ARHGAP10
ATP5F1B
MFNG
CIDEC
PRR36
RNFT2
ABCA3
TMED9
HAUS3
AP3B1
GJC2
KCNK5
TXNRD3
BUD31
TMEM185B
P3H2
MFN2
ALAD
DCN
SSX7
RIC8B
ARPC4
ABHD11
CS
ADGRL1
NALF2
TOM1L2
ATF4
GTF2IRD1
CAPRIN2
AP3D1
NSL1
KDM8
STAM2
NME7
DST
ARK2N
TRIM29
TRPM1
PRDX2
ERI2
PPP1R8
MAP3K12
HUWE1
KREMEN2
HBQ1
BCL6
ACVRL1
ARHGAP45
SYNPO
SUV39H2
EHD3
EPB41L4B
ADNP
GOLGA7
CEP70
NDST3
DAAM2
SSPN
RASSF8
IST1
AKTIP
MRPS31
STARD13
MRPS18A
UAP1L1
NDUFV2
HSP90AB1
IQCE
CX3CL1
ADIPOQ
GLRX3
PMVK
TFB1M
SLC30A9
RNF138
STK24
EVI5
GCKR
INVS
EIF3L
RNF220
HK2
RPL19
ART3
DENR
GLYAT
OGDHL
DUS1L
NDUFA10
GALNT14
TENT5C
OLIG2
IL1A
KBTBD4
RAD1
COX17
HSPG2
HLA-A
ZKSCAN5
NRGN
COLEC12
FAM234B
TOX4
BAG1
SFSWAP
TBC1D16
LHPP
BPGM
H2AC6
TNFRSF25
CP
NPY1R
SAP30L
BIK
PSMC3IP
NPIPA1
SAMD9
BNC2
PRSS8
FBXO5
FRG1
CYB5R3
GAMT
MAST4
ALS2CL
PELI1
COX5A
DCTN5
TOB2
TEX2
NTRK2
FXYD7
CCK
LIMA1
LMTK2
REC8
INSM1
LIF
PGF
PTGES3
SLC19A2
C4BPA
PLAT
B3GAT1
SPTB
PRDX3
PRKD3
NDP
CYP3A5
CCN4
MTF1
IQCG
IL17B
SNX2
HNRNPUL1
CAPN15
MIEF1
CDIP1
FGGY
ALOXE3
ALDH1A1
ZFHX3
TCF12
DNAJB14
MCCC1
COL3A1
CPT1A
GFPT2
MAP3K6
FYB1
SEC23A
ASCC2
DSC2
GZMM
MLPH
ITCH
HAS2
BST2
AKR1A1
FKBP5
RDH11
SRPRB
CSTF2
DESI1
NAIP
GRK6
DTWD1
MOAP1
HIKESHI
SNRPD3
HEMK1
GPHN
C22orf46P
LGR4
CSNK1G3
BRD8
RACK1
FAM149A
