DSG2-AS1
METTL26
ACVR2B
IQCF6
LINC01521
ZCWPW2
CORO7
PAX4
CCDC97
IRF2BPL
RGL3
SUGT1P3
FCGR1A
SLC6A7
KIAA1549
CRP
ITPK1-AS1
ZC3H12C
TRAV10
GTF2IP20
MAP3K14-AS1
WNT9A
SEMA3E
S1PR3
ELFN1-AS1
DUSP18
MACROD2
C11orf54
GUCY2F
MRLN
ZNF554
ADGRG7
AURKC
TEDC1
SBF2-AS1
SF3B6
EMC4
RAD21L1
ZNF619
RNF150
PRB3
FABP3P2
ZNF85
ZNF555
SPINK1
TBX22
LCA5L
SFRP2
ZNF283
TAS2R13
PPP1R16A
PCGF6
LHX1
SNX15
MFSD14A
H3C8
TPM3
H4C13
ZNF814
APOB
IPO9-AS1
PCED1B
PAXIP1-DT
CPS1
LINC01500
TAS2R40
HBE1
MOB3C
PSMA3-AS1
ACOT12
TMEM181
FAM118B
RMST
RPL18P10
MYH8
LINC00698
H1-1
ITPRIPL2
DNAH14
SLC22A8
ARHGAP23
INO80D
ALKBH3
C5orf46
CCDC197
PLEKHG4
GPAT4
LINC01007
SPINK7
EIF4E2
LAIR2
DCDC2B
TM2D2
BEX5
VANGL2
STXBP5
GUSBP3
DIS3L2
PRR19
PDZD4
POT1-AS1
HS3ST3B1
ARHGAP36
ROPN1L
SLC39A3
LMNTD1
MRPL54
CEACAM19
SPTSSB
C10orf71-AS1
DOT1L
TMEM161B-DT
RBM27
CPEB2
ZNF320
UBTD2
CCNP
HEIH
INHBA-AS1
MYO7B
AJM1
SPZ1
FAM169BP
DDX51
SLC13A5
EDDM3A
PROP1
ZNF655
SLC5A2
BPIFB1
RNF212
SNAI3-AS1
MIR4300HG
MYL7
LINC01231
FBXO17
RHOV
SH3KBP1
CSH2
LINC01355
UQCC6
ALDH1L2
CYP3A7-CYP3A51P
CFAP99
ZNF626
NTNG2
CCDC178
SMIM12
SCN10A
MSLN
SCN2A
NEGR1
ANKRD20A12P
SIRPG
AGAP3
H3C7
CAPZA3
