COPB2
GRB10
NOTCH1
NCAPD2
CCNB2
CEBPA
HDAC6
PLCB3
PLSCR3
POLR2K
GADD45A
MAPK13
NUP88
CCNA1
BLCAP
PLSCR1
COL1A1
ARPP19
SRC
SESN1
PSMD10
TIAM1
PSMF1
FHL2
LRPAP1
HMGCS1
CCDC85B
POLE2
PAK6
HMOX1
BECN1
PTPRC
APBB2
LRRC41
SMARCA4
PUF60
ANO10
NNT
DYRK3
MLEC
WFS1
EPB41L2
CD58
CASP10
KTN1
PPP2R5E
IFNAR1
POLD4
CHMP6
PRKCQ
P4HA2
TM9SF2
TIMM17B
RALGDS
SLC37A4
NFKBIE
SOX2
DCTD
CDK2
AKAP8L
RAP1GAP
EED
CDK7
USP7
CDC25A
NMT1
KDM5A
TRAK2
NFATC4
VAV3
ALAS1
GNAI1
RNF167
PLOD3
ARID5B
PSMB10
USP6NL
ITGB1BP1
PPP2R3C
ZFP36
MEST
FBXO11
SLC35A3
TMED10
RPL39L
PTPN12
ST6GALNAC2
STK10
SFN
MRPL19
SPRED2
GRWD1
FPGS
MOK
DNAJA3
PDIA5
PLA2G15
HTATSF1
LAGE3
PAN2
PRKAG2
DLD
PPARG
RAI14
NRAS
ZNF586
TRIB1
ECH1
TP53BP2
UBE2A
NPEPL1
ZNF318
DDR1
DECR1
COG7
CHP1
TWF2
SCARB1
MYLK
PLEKHJ1
TICAM1
MAPK9
TRIB3
PRUNE1
MAN2B1
IL1B
ANXA7
NPDC1
DDB2
TLCD3A
APP
CDKN2A
BMP4
ATF5
TXNL4B
H2AZ2
LOXL1
RGS2
TATDN2
XPNPEP1
RAC2
CGRRF1
TGFB3
TBXA2R
BUB1B
YME1L1
MTERF3
CTTN
SPAG4
SLC25A14
DNAJC15
SLC27A3
NUDT9
GRB7
PRKCH
EBP
DUSP22
RNPS1
STAT3
ANKRD10
BPHL
FIS1
CASC3
ACAT2
SMC1A
CTNNAL1
RPA3
MYCBP2
KIFBP
MBNL2
NUP133
SNX7
ENOSF1
STAP2
HEBP1
MFSD10
MYBL2
NCK2
H2BC12
ORC1
TPD52L2
H2BC21
DUSP11
INPP4B
ALDOC
EDEM1
HADH
AKR7A2
USP1
TXLNA
LGMN
GARRE1
C2CD2
TBX2
DNAJB1
CLPX
PCCB
KEAP1
RRS1
SLC35F2
INTS3
RPIA
APPBP2
SHC1
KIF2C
CCND3
LAP3
PIGB
ADH5
PDGFA
UBR7
ERBB2
XPO7
MCUR1
E2F2
BRCA1
SGCB
BDH1
TIPARP
TOPBP1
CDCA4
OXSR1
CDC25B
ALDH7A1
DHX29
TCEA2
KAT6A
CD40
CDK5R1
NFATC3
GET1
POP4
PLEKHM1
CD44
MKNK1
PMM2
FAT1
HOOK2
PCBD1
DUSP6
ECD
KIAA0753
ICAM1
PPOX
PECR
GALE
MPC2
AMDHD2
PSMD9
ADI1
TRIM2
HDAC2
RFX5
HAT1
MMP1
BLTP2
TMEM97
PDHX
MSH6
CCNB1
VPS28
TXNDC9
IER3
RBM6
SLC25A4
PTPN6
DCK
DUSP4
STAT5B
TFDP1
MTHFD2
BCL2
KIF14
CHIC2
TEX10
TERT
RRP1B
NPRL2
ABCC5
CDC42
AKT1
ME2
PIN1
NOS3
ACOT9
RALB
CREG1
PSMB8
CEP57
CBLB
CALM3
NSDHL
NOSIP
CEMIP2
PLP2
PMAIP1
DFFB
CAMSAP2
PFKL
POLR2I
HERC6
ADGRE5
HLA-DRA
RPS5
CDKN1B
SPTAN1
WDR7
CERK
STAT1
FKBP4
RXYLT1
GPER1
EGFR
SYPL1
PYCR1
GHR
TOP2A
ARFIP2
GTF2A2
KCNK1
LYN
HSD17B11
BIRC2
GNA11
SUPV3L1
VAPB
NOL3
HMGCR
CYTH1
CCP110
IL13RA1
GTF2E2
PIK3C3
DHDDS
PRAF2
RPS6
GLI2
PPP2R5A
ACLY
RAB31
CHEK1
TMEM50A
FUT1
DYNLT3
LGALS8
CASP7
RNMT
ST3GAL5
DHRS7
TSKU
LSR
PIK3CA
SYNE2
SATB1
MIF
S100A4
TERF2IP
CASK
GNPDA1
PTPRF
GFUS
ADO
FAH
TSPAN4
RASA1
CORO1A
HMGA2
MAP7
MTFR1
TSPAN6
GMNN
NCK1
RAE1
PCMT1
TM9SF3
SPR
CREB1
SSBP2
PTK2
ILK
MMP2
FAIM
TBC1D31
FSD1
ADRB2
PRKACA
PNP
STIMATE
KIF20A
GNAS
ERO1A
GDPD5
MBNL1
CALU
PXMP2
AURKB
IGF1R
ABL1
DDX42
POLR1C
BACE2
TOMM70
CLTC
NR1H2
TP53
CDK4
CEBPD
CIRBP
TJP1
FOS
IKBKE
NET1
TLE1
PAX8
SCYL3
SLC2A6
SIRT3
FASTKD5
TGFBR2
IGFBP3
FOSL1
TCFL5
CYCS
ELOVL6
EIF4EBP1
ELP1
POLG2
CSK
FAS
SPP1
NUP62
TLR4
CAST
EXOSC4
CASP2
TESK1
ARHGAP1
FDFT1
ATP6V0B
NFE2L2
PPARD
PDLIM1
STMN1
COQ8A
LPGAT1
EPHB2
PDS5A
PWP1
PNKP
ADAM10
HSPA8
CD320
HEATR1
SKIC2
TARBP1
PSMD2
NCOA3
RPN1
EPN2
SACM1L
HIF1A
NIPSNAP1
PIP4K2B
ZDHHC6
TLK2
SNX11
CDK19
TNFRSF21
ARID4B
GLOD4
DPH2
EFCAB14
HOXA10
TES
BAG3
CCDC86
MINDY1
UBQLN2
IGF2R
HSD17B10
CXCR4
CTSD
CXCL2
TNIP1
EZH2
ATP6V1D
RUVBL1
MAPK1IP1L
RPA2
STUB1
ATP11B
BLVRA
NOLC1
YTHDF1
ASCC3
FBXO21
HS2ST1
UBE3C
C2CD5
CIAO3
MAP2K5
UTP14A
FGFR2
PLK1
FRS2
ABCF3
MAT2A
SH3BP5
IDE
ID2
GNAI2
PTPN1
IFRD2
CPSF4
GSTZ1
AXIN1
MTF2
WIPF2
C2CD2L
PIH1D1
SLC1A4
SYNGR3
ZNF274
GRN
SPEN
ICMT
C5
REEP5
PPIC
PRKCD
CBR3
MAPKAPK2
PSMG1
ARL4C
WASHC4
NUP93
ABCF1
CDC20
PCK2
CNDP2
UBE3B
MTA1
GPC1
TOR1A
SOX4
MBOAT7
FOXJ3
CIAPIN1
MYCBP
HYOU1
IKBKB
RAB4A
LYRM1
SMC4
TCERG1
PKIG
GABPB1
CENPE
