NDUFA13
ATXN3
ADAMTS13
MPP3
CLDN14
ADRA1D
IFNA4
DEFA5
OR3A3
MYOG
DLGAP2
SEMG2
GRIP2
KCNQ1OT1
CALCB
ZFTA
GGTLC2
MT1HL1
FOXD1
TAF7L
TRPV5
DNAI1
SPTA1
IGLV3-25
CPN2
ARSL
RTL10
CETN1
ADGB
TBL1Y
DMC1
SERPINA6
LIPC
TP53TG5
MMP10
BPESC1
INSRR
TDO2
MAGEA6
FGF6
SLC6A5
OR7E24
TRPM6
SLC38A4
OR10H1
TNP2
FAM186A
KLHL11
INE1
MOGAT2
GPRC5D
ADAM18
ARR3
PSPC1
PSG9
CACNA1E
IL5
PF4
TUBA3C
PIWIL2
SPEF1
OVGP1
HTN1
CPS1
SRSF8
LTB4R2
SRSF11P1
PLAAT2
MC5R
SYCP2
NME8
TNFSF4
DISC1
CYP3A43
KNG1
GABRA6
MUC16
APOL5
LMX1B
KCNA10
TENM1
FBP2
FGF4
CEACAM8
GRK1
SP3P
PNMA3
VSX1
APCS
MTMR8
USH2A
H3C8
MYCNOS
ACOXL
TCL1B
CNTN5
CHRNA5
SSTR5
LEFTY2
RIPPLY3
PRR4
PRDM12
PTTG3P
PLEKHS1
CHRNB3
DCAF13
LINC01565
NPY5R
OR5I1
C4orf19
ACRV1
CYP1A2
MYL7
ZNF701
TREH
SYNGR4
CCDC82
PHF14
DUSP9
ATP8B3
NSUN7
MST1L
TRPC7
NMBR
SHBG
PSCA
PZP
HHIPL2
SEMA3E
PCDHB8
OTOR
CD177
DIABLO
FGA
CEACAM3
DUX1
PRAME
NME1
SIM2
DSTNP2
DLEU2
SLC5A5
ECE2
CGA
OR2W1
PKLR
SPATA31C2
KIF26B
ADRA2B
KLHL41
OR10C1
GUCA1B
RIOX1
H4C11
OPRPN
NOX5
LRRC37BP1
RORB
TMPRSS11D
EPX
NOS1AP
ERC2-IT1
PAPPA2
PHOX2A
PTH
CUZD1
TAS2R13
SLC22A13
TAS2R10
ADAM5
MTRF1L
DDR1-DT
CTAGE1
GATC
VRTN
TDRD1
HNRNPA3P1
TRBV10-2
BDKRB2
IGLC1
SLC30A4
ASMTL-AS1
ALOX15
MAGEA11
SLC10A1
CYP2A7P1
CNTNAP3P2
CYP2C8
ZNF91
TRAV13-2
LTK
