KCNC2
ATG10
ZNF155
DRD3
OR3A3
TPSG1
CPB2
CYP2C19
CRNKL1
HOXD1
MAGEB4
EPO
SIM2
ADAM2
MFSD12
KCNQ1OT1
AKR1D1
ECEL1
PRSS50
F5
POU6F2
ACTBP9
MOB4
PTPRJ
SMCP
ACRV1
SPICE1
SULT1C2
ABO
P2RY6
CATSPERB
LGALS14
RUFY2
HEXA-AS1
SIGLEC6
EXOC6B
DUSP21
TCP10L3
MMP11
TRPV6
HGFAC
FBXL8
OR10J1
IL13
H4C5
TPH1
GYPB
RPS18
FCF1
GABRB2
CCT8L2
IRGQ
DNAJA4
WDR83OS
KIR2DS2
USP9Y
TAS2R8
WNT10B
ZNF528
SYT2
NDST2
RAB3IL1
PSCA
PRSS2
KCNH4
SRSF2
TCL6
TKTL1
AMBN
ZNF26
ADGRV1
GGTLC2
TULP2
RABL6
EIF3FP1
EVI2B
SLC19A3
MMP10
CHRNB3
LTA
AMBP
NXPE4
PKD1P6
MYH2
TMPRSS11E
PRDM12
OR7E156P
GNAT3
HMGCS2
KCNB2
TRIM48
LRRC19
PYY
ALB
PAX4
PDE6G
KLHL11
UBC
RPL3L
INO80D
GTPBP6
RNASEH2B
SCD5
TGM4
ABCB11
KIF25-AS1
TREML2
ANXA2P3
CIDEB
CHRM3
DUSP9
CRYGA
TXNDC16
TMEM156
C2orf27A
KRT13
RFX1
TMEM265
SCN2A
KIF24
ZNF443
ITFG2
CD24
RFPL3
KCNQ1DN
VGLL1
TRAC
GNGT1
RAX
CRYGB
CBARP
POLR1G
DGKE
SPAG8
PRB4
ATP4A
RAB30
NOL7
IPO4
ARPIN
IGLV2-14
LINC00474
COX7A2P2
ZNF814
ANKRD7
HIVEP3
H2AC10P
C3orf36
LAIR2
IGK
BIN3-IT1
ADAM29
SLC35F5
PABPN1
ZNF701
SPC24
DELEC1
LINC00963
ZNF665
PCDH11X
ASCL3
KRT19P2
NACA4P
PF4V1
APOH
CRYGC
GC
RPL21P2
EEF1AKMT2
CYP11B2
ZNF778
POMZP3
NSUN7
TMEM212
CEACAM21
ZP2
PSG4
CLPS
ATP1B4
PSORS1C1
ZXDB
CRYBA4
HTR1D
CDH7
TENM1
CHRM4
CRYBB3
TEX13A
SLC9A3
LINC01558
VPREB3
LINC00342
CKM
ERV3-2
HHIPL2
IGKV1D-13
ZIC3
ROS1
GABARAP
PYY2
CYP4F2
ARTN
MAGEB1
MORN3
REG1B
F9
INSL4
HCG4
GPR88
SLC13A2
