ARFIP2
DNMT3A
GRWD1
MRPS2
PDIA5
HERPUD1
CENPE
KEAP1
RAD51C
PDGFA
PRKCQ
TESK1
NUDT9
ATP1B1
HSPB1
SQSTM1
TMCO1
GARRE1
FASTKD5
FBXO11
STUB1
CYCS
HTRA1
CISD1
LRRC41
PRKCH
HTATSF1
KIF5C
LBR
MAMLD1
ILK
POP4
ICAM1
TBC1D31
STAP2
H2BC12
IKBKE
PIK3C3
DAXX
KCTD5
C5
VAT1
MICALL1
MEF2C
TMED10
DNAJC15
FOXJ3
AURKA
SPTAN1
CRKL
TRAP1
DNM1
AKT1
ATMIN
ORC1
CCNA1
PCNA
RFC2
PPP2R3C
SUV39H1
EGF
C2CD2
LSM6
IKBKB
PMM2
BCL7B
EIF4G1
PIK3R4
CPSF4
APPBP2
SPDEF
CIAO3
CAPN1
FAM20B
ATP6V1D
CPNE3
TIMELESS
PAK4
PRUNE1
CDC25A
SENP6
TBPL1
SERPINE1
HLA-DMA
S100A4
COL1A1
TARBP1
SCARB1
DDIT4
PLOD3
EPRS1
TRIM2
IPO13
HSPA1A
CCNF
E2F2
RAB31
GNPDA1
NIPSNAP1
MCOLN1
WIPF2
CDCA4
TLCD3A
TCEA2
HMG20B
PKIG
SLC1A4
HOMER2
TWF2
PSIP1
FUT1
KLHL9
DCUN1D4
KDM5A
CHMP6
RPS6
DHX29
EPHA3
PRKACA
BNIP3L
PSMB8
DUSP4
SYPL1
IQGAP1
CHEK1
CHN1
SOX2
BHLHE40
GADD45A
RASA1
SPAG4
NFE2L2
SLC25A13
PACSIN3
ETFB
CCDC86
PSMG1
PSMB10
EXOSC4
YKT6
EAPP
RAD9A
ABCB6
RAB11FIP2
EGR1
WDTC1
SLC2A6
NUP62
UBE2J1
EFCAB14
ADAT1
FKBP4
SLC11A2
PAX8
CASP7
LPAR2
MYCBP
TCTN1
PRKCD
HSPD1
USP6NL
ETV1
HSPA4
ACLY
ZMYM2
ADO
MFSD10
LAP3
PRR7
HYOU1
GRN
HADH
GNAS
PPIC
ADH5
COG7
TEX10
UBE3C
RBM15B
OXSR1
GABPB1
PGAM1
CLPX
VPS28
MALT1
METRN
PGRMC1
KIT
SUZ12
