RPL35A
KLHL29
C10orf88
JOSD1
MYDGF
ZNF764
ATP1A2
THADA
NDUFC1
TMBIM1
MYLK3
FBN1
LRRC49
FXYD3
FSTL1
TMBIM6
PEX5L
CAPNS1
NID1
GPR37
SYNGR1
NUDT4
LSM1
RGS3
ANK2
OTUB2
SORL1
ZNF551
MET
RBMX
FAAP100
BET1
SNU13
MS4A1
ASIC3
INTS8
HERC5
CLDN1
ZNF37BP
ANAPC1
MGAT3
BTBD3
KRT7
TMEM168
RNF19A
SAMD9
LMO2
RNF4
ACKR3
RPS16
MT3
RGS6
SNRNP27
SLC12A9
RAP1GAP2
SEMA3G
MGAT4B
TRMU
TRAF3IP2
PITX1
MB
SP110
MYOC
TINF2
CD72
CLDN18
ATP6V1A
LARP7
KLHL24
ABCA7
AMFR
BTN2A2
BARD1
TKT
IGFBP2
TMEM208
PFN2
EIF3B
CEP290
TAF11
UNC5C
DYNC1I2
GTSE1
ZNF536
USP3
CREM
PFDN5
CDK12
MICAL3
CIB2
SEMA4D
POLR3G
SCD
ANXA3
RNASEH1
PTPN3
PSME4
KATNA1
MRPL20
SLC48A1
VPS35L
CHPF2
THEMIS2
BCLAF1
CNTLN
PMF1
NLRP2
ABR
NNMT
BCR
HCFC1
ACP1
EIF2B4
TAC3
PATZ1
MN1
ECSIT
CCL23
GMCL1
PREPL
CD84
STARD13
ZBTB5
CRCT1
ATAD2B
EDAR
ELP4
LIMD1
KLHL22
GCC2
FAIM2
CSGALNACT2
ATP8A1
CH25H
SLC6A12
PCGF1
CALR
WASF2
NR1D2
OSGIN2
FLRT2
BUD23
ZNF266
PPP2R5D
CCT2
CIB1
C7
PIK3R5
SEC24A
CAMK2N1
NRL
MAP2K2
ABHD18
MRC2
RFPL1S
KRT76
SLC7A6
ZBTB24
TRIM26
DIO2
TEDC2
AVPI1
TP63
SORBS1
FGD1
GNB2
BASP1
RNF38
PDCD6
ZC3H7A
COL1A2
ARF1
CIT
TOE1
SIAH1
SP2
PXMP4
NUDT1
FAM172A
HMGXB3
ROBO1
KCNA1
MRPS14
TAF1B
RGS10
SMARCA5
PAX6
CX3CL1
TCF4
CREB5
TMEM267
ATP8B4
CLUHP3
IL6
NAV2
PAXBP1
PXDC1
RAB33B
AP1M2
MRPS30
